class_name,portion_desc,kcal_per_portion,source,notes
Anchovies,fried ikan bilis nasi lemak side,60,HealthHub/HPB nasi lemak breakdown (ofnoah.sg),
Boiled-Egg,1 whole egg,78,standard nutrition value (calculatormalaysia.com),
Char-Kuey-Teow,1 plate (23cm),745,HPB iDAT via danielfooddiary.com,
Chicken-Rendang,1 plate 116g,250,KKM BeSS Bank Kalori (Ayam Rendang SFC),
Curry-Puff,1 piece karipap,130,KKM MOH calorie bank via calculatormalaysia.com,SG-style large curry puff is ~339 (HPB)
Fried-Chicken,1 piece 120g various parts,270,KKM BeSS Bank Kalori (MFC),
Fried-Egg,1 egg sunny side up,90,standard nutrition value (calculatormalaysia.com),
Fried-Rice,1 plate,576,HPB iDAT via danielfooddiary.com,
Hokkien-Mee,1 plate,522,HPB iDAT via danielfooddiary.com,KL-style dark hokkien mee reported up to ~700-1000; high variance
Lo-Mein,1 plate,450,estimate from 310-490 range (kimecopak/fatsecret),weakest value; note in report
Mee-Rebus,1 bowl,571,HPB iDAT via danielfooddiary.com,calculatormalaysia lists 480
Mee-Siam,1 plate,694,HPB iDAT via danielfooddiary.com,
Peanuts,roasted nasi lemak side,90,HealthHub/HPB nasi lemak breakdown (ofnoah.sg),
Rice,1 serving coconut rice (nasi lemak),300,coconut rice ~300-350/cup (personaltraining.com.my),plain white rice 1 cup = 205
Roti-Canai,1 piece plain,300,KKM MOH calorie bank via calculatormalaysia.com,
Sambal,2 tbsp,80,HealthHub/HPB nasi lemak breakdown (ofnoah.sg),
Slices-Cucumber,side portion,15,standard nutrition value,
