file,expected_kcal,items_visible,portion_notes,quantity if have,remakrs
10_webp.rf.e29ba1799e124d5a6aa6c6f59f040beb.jpg,694,Lo-Mein,remark: actually mee siam (was 450),,this is mee siam
11_webp.rf.7e0faa1eee6a29f7d9a0819dbeb9baa8.jpg,576,Fried-Rice,"standard portions, remark none/kept",,
13_jpg.rf.ac3a5faaafd2e352ed164b8f3c6f5f38.jpg,745,Mee-Siam+Fried-Rice,"remark: actually CKT, only 1 visible (was 1270)",,this is char kuey toew and there is two but only one is visible
14_webp.rf.f7afa160222f2bf1a5c37a565f5929e8.jpg,500,Mee-Siam,remark: bihun goreng w/ squid+chicken; HPB fried bee hoon 430 + protein (out-of-vocab dish) (was 694),,bihun goreng with squid and chciken I think
16_jpg.rf.dceeb41479a7e12ff656956a1fb3858a.jpg,600,Roti-Canai+Roti-Canai,"standard portions, remark none/kept",,hopefully is added with the dhal/sauce that comes with
19_jpg.rf.b8b90de64b4b570adcc6f878817f827b.jpg,450,Lo-Mein,"standard portions, remark none/kept",,
19_png.rf.2774cfbe0a2bf73c7a70a1a16f42a500.jpg,390,Curry-Puff+Curry-Puff+Curry-Puff,"standard portions, remark none/kept",,
19_png.rf.8ff97659400b7081e72ba39a9f1ed27a.jpg,571,Mee-Rebus,"standard portions, remark none/kept",,
1_jpg.rf.a4f211e4a2081394944d702d82207fdd.jpg,522,Lo-Mein+Hokkien-Mee,remark: single hokkien mee plate (was 972),,this is hokkien mee
1_webp.rf.add2ccec42df6dc10070f64fa732d868.jpg,450,Lo-Mein,"standard portions, remark none/kept",,
20_jpg.rf.f8652ec57857cb2ed3bd66d66f61bb7d.jpg,571,Mee-Rebus,"standard portions, remark none/kept",,
21_jpeg.rf.44c9905392855001dbc4ad873e188879.jpg,522,Boiled-Egg,remark: actually hokkien mee (was 78),,this is hokkien mee
21_jpg.rf.6630e3564ee329233bb26a1e0601e722.jpg,694,Mee-Siam,"standard portions, remark none/kept",,
21_jpg.rf.9c0aff28c8a487b20f614ad9bf9d1677.jpg,1560,Curry-Puff+Curry-Puff+Curry-Puff+Curry-Puff+Curry-Puff+Curry-Puff+Curry-Puff,remark: 12 curry puffs x130 (was 910),12 curry puff,
22_jpg.rf.cbf2669ce8ff9e21035ca55adc6cf387.jpg,870,Mee-Siam,"remark: very big portion, +25% (was 694)",,very big portion
23_jpeg.rf.cae188a8355dd7fe3055a889d887217e.jpg,522,Hokkien-Mee,"standard portions, remark none/kept",,
24_jpg.rf.04114faddcd3ec3d805681f1b79ef4c8.jpg,745,Char-Kuey-Teow+Boiled-Egg,"remark: CKT only, no egg (was 823)",,just char kuey toew no egg
24_webp.rf.e611224961c2b2fb370aeb7075bd8140.jpg,571,Boiled-Egg+Mee-Rebus+Boiled-Egg,remark: egg included in mee rebus (was 727),,mee rebus has egg so I don�t think egg is needed
26_png.rf.a13ae887ca4fd2a17d218a67ff50d22a.jpg,900,Roti-Canai,remark: 3 roti canai (at least 3) (was 300),3 or 4,cant see due to overlapping but at elast 3 
27_webp.rf.c54844473e366c5e95922cc29c13bcba.jpg,522,Hokkien-Mee,"standard portions, remark none/kept",,
31_jpg.rf.ddb5759115850cdbab9cbbdf92ff49d6.jpg,745,Char-Kuey-Teow,"standard portions, remark none/kept",,
35_jpeg.rf.f5a1a15b794b02128584b72bacc74f4b.jpg,260,Curry-Puff+Curry-Puff,"standard portions, remark none/kept",,
35_jpg.rf.b792532df466c7108506ab446aef7b08.jpg,745,Mee-Siam,remark: actually CKT (was 694),,char kuey toew
36_jpg.rf.5c6ff949cbfe81436c29d46f3e55c03f.jpg,400,Mee-Siam+Lo-Mein,remark: actually maggi goreng (out-of-vocab dish) (was 1144),,maggi goreng
38_jpeg.rf.b779705fa7b6d53402c35d3674d135af.jpg,450,Lo-Mein,"standard portions, remark none/kept",,
39_jpg.rf.ab5f598c4397b041d6f1a3400e4db631.jpg,745,Char-Kuey-Teow,"standard portions, remark none/kept",,
41_jpg.rf.3202306dfc02156a529cb2bb0e675d3f.jpg,350,Mee-Rebus,remark: roti canai with sauce/dhal (was 571),,this is roti canai wtith sauce
42_jpeg.rf.eb4e55aa2e27f60ea593f7c89d9f6e84.jpg,522,Hokkien-Mee,"standard portions, remark none/kept",,
43_jpg.rf.25ab37a97381949ba9220dcffce18f22.jpg,1180,Boiled-Egg+Sambal+Mee-Siam+Chicken-Rendang+Boiled-Egg,"standard portions, remark none/kept",,
44_jpg.rf.a42b2dec44efd885d2f35772badead6d.jpg,522,Hokkien-Mee,"standard portions, remark none/kept",,
44_jpg.rf.f0b7fe9740b4d3dd2e8a6400aeb3b336.jpg,450,Lo-Mein,"standard portions, remark none/kept",,
45_jpg.rf.2d78fa1c430631901da032ed241abdcf.jpg,576,Fried-Rice,"standard portions, remark none/kept",,
45_jpg.rf.e68c1287aa92b9d023aa7c11d9d18265.jpg,450,Lo-Mein,"standard portions, remark none/kept",,
4_jpg.rf.3cdac5af335499e15d084d5d0b718380.jpg,650,Curry-Puff+Curry-Puff+Curry-Puff+Curry-Puff+Curry-Puff,"standard portions, remark none/kept",,
50_jpg.rf.fffac78dfef3c29668ef5079d6c7b409.jpg,300,Roti-Canai,"standard portions, remark none/kept",2,
51_jpg.rf.4797976df89732863de77689f7451942.jpg,571,Boiled-Egg+Mee-Rebus,remark: egg included in mee rebus (was 649),,same thing mee rebus usually have egg already
52_jpg.rf.4772d2f3034273abc0632b1b2bf7726e.jpg,745,Char-Kuey-Teow,"standard portions, remark none/kept",,
55_jpg.rf.add3e874d57d4d10cefb125215c595c2.jpg,260,Curry-Puff+Curry-Puff,"standard portions, remark none/kept",,
56_jpg.rf.78d8efcd88616817f6e0e67bce008554.jpg,900,Lo-Mein+Lo-Mein,"standard portions, remark none/kept",,
59_webp.rf.83a4012af9c89d1876f725e75b55d381.jpg,450,Lo-Mein,"standard portions, remark none/kept",,
5_jpg.rf.7fb6ad9aac4bd893ddefec31394c64bb.jpg,780,Curry-Puff+Curry-Puff+Curry-Puff+Curry-Puff+Curry-Puff+Curry-Puff+Curry-Puff,remark: 6 curry puffs visible x130 (was 910),,6 curry puff but 2 at the back blurred
5_jpg.rf.c142f67762a2463c24636efc7742ec36.jpg,300,Roti-Canai,"standard portions, remark none/kept",,
5_jpg.rf.e8eedb6c2682416a7f294facda5926a4.jpg,694,Mee-Siam,"standard portions, remark none/kept",,
61_jpg.rf.cc3cd36c0112a472f5d6e473bd650520.jpg,576,Fried-Rice,"standard portions, remark none/kept",,
63_jpg.rf.028b72bed2420806ea9d41b4961f17c7.jpg,450,Lo-Mein+Slices-Cucumber,remark: no cucumber (was 465),,no cucumber
63_jpg.rf.3b7a8ca59cf8665eb18f49b5fb5b2115.jpg,522,Hokkien-Mee,"standard portions, remark none/kept",,
64_jpeg.rf.e0895d62356cf28b386071d1fab1d37f.jpg,666,Boiled-Egg+Fried-Rice,remark: fried egg (90) not boiled (78) (was 654),,that is fried egg not boiled
65_jpeg.rf.2aae27e83384779c01a6b6a8db881f7c.jpg,576,Fried-Rice,"standard portions, remark none/kept",,
65_jpg.rf.618d5e7099308a8ead03889160a18209.jpg,571,Mee-Rebus,"standard portions, remark none/kept",,
67_jpeg.rf.5ecf8c9e7e875bd7333d7e87e9d360de.jpg,576,,remark: actually fried rice (was 0),,this is fried rice
67_jpg.rf.5e87d9a97722df02b5cc4d9805bb28f4.jpg,571,Mee-Rebus+Boiled-Egg+Boiled-Egg,remark: egg included in mee rebus (was 727),,mee rebus usually have egg already
68_png.rf.01e793bdf9741b2a9f5a486ae3200fc9.jpg,571,Mee-Rebus+Boiled-Egg,remark: no egg (was 649),,no egg
68_webp.rf.4e3279ebf1cbe0bca6dc122fb817d1dd.jpg,650,Curry-Puff+Curry-Puff+Curry-Puff+Curry-Puff+Curry-Puff,"standard portions, remark none/kept",,
69_jpg.rf.6cce9ce593c358625936bed1da2ccf18.jpg,681,Slices-Cucumber+Fried-Egg+Fried-Rice,"standard portions, remark none/kept",,
70_jpg.rf.5478c816ded208ce78e419c88d5ebdfd.jpg,666,Fried-Rice+Fried-Egg,"standard portions, remark none/kept",,
72_jpg.rf.b0ea21b59cf738f2894158b83f016c78.jpg,745,Lo-Mein+Mee-Siam,remark: actually CKT (was 1144),,this is char keuy toew
74_webp.rf.324ab668e8608e9ec735f72937c218bb.jpg,450,Lo-Mein,"standard portions, remark none/kept",,
8_jpg.rf.3486db9def33ac3071f31aaf8615da5c.jpg,1100,Rice+Roti-Canai+Roti-Canai,remark: 2 roti telur (400 ea) + 1 roti canai (300) (was 900),,this is 2 roti telur 1 roti canai
fried27_jpg.rf.50a048ad3961cc086c58041ca867a9ae.jpg,893,Anchovies+Sambal+Boiled-Egg+Peanuts+Fried-Chicken+Slices-Cucumber+Rice+Rice+Rice+Rice,remark: 1 rice not 4 (-900) (was 1793),,1 rice is rnuf
