file,expected_kcal,estimated_kcal,n_items
10_webp.rf.e29ba1799e124d5a6aa6c6f59f040beb.jpg,694,272.2,1
11_webp.rf.7e0faa1eee6a29f7d9a0819dbeb9baa8.jpg,576,442.8,1
13_jpg.rf.ac3a5faaafd2e352ed164b8f3c6f5f38.jpg,745,1174.9,2
14_webp.rf.f7afa160222f2bf1a5c37a565f5929e8.jpg,500,677.6,1
16_jpg.rf.dceeb41479a7e12ff656956a1fb3858a.jpg,600,676.8,2
19_jpg.rf.b8b90de64b4b570adcc6f878817f827b.jpg,450,462.2,1
19_png.rf.2774cfbe0a2bf73c7a70a1a16f42a500.jpg,390,275.8,3
19_png.rf.8ff97659400b7081e72ba39a9f1ed27a.jpg,571,393.5,1
1_jpg.rf.a4f211e4a2081394944d702d82207fdd.jpg,522,812.8,2
1_webp.rf.add2ccec42df6dc10070f64fa732d868.jpg,450,426.0,1
20_jpg.rf.f8652ec57857cb2ed3bd66d66f61bb7d.jpg,571,441.6,1
21_jpeg.rf.44c9905392855001dbc4ad873e188879.jpg,522,78.1,1
21_jpg.rf.6630e3564ee329233bb26a1e0601e722.jpg,694,460.5,1
21_jpg.rf.9c0aff28c8a487b20f614ad9bf9d1677.jpg,1560,912.3,7
22_jpg.rf.cbf2669ce8ff9e21035ca55adc6cf387.jpg,870,552.0,1
23_jpeg.rf.cae188a8355dd7fe3055a889d887217e.jpg,522,316.2,1
24_jpg.rf.04114faddcd3ec3d805681f1b79ef4c8.jpg,745,609.6,2
24_webp.rf.e611224961c2b2fb370aeb7075bd8140.jpg,571,388.1,3
26_png.rf.a13ae887ca4fd2a17d218a67ff50d22a.jpg,900,285.2,1
27_webp.rf.c54844473e366c5e95922cc29c13bcba.jpg,522,490.9,1
31_jpg.rf.ddb5759115850cdbab9cbbdf92ff49d6.jpg,745,723.9,1
35_jpeg.rf.f5a1a15b794b02128584b72bacc74f4b.jpg,260,220.6,2
35_jpg.rf.b792532df466c7108506ab446aef7b08.jpg,745,347.0,1
36_jpg.rf.5c6ff949cbfe81436c29d46f3e55c03f.jpg,400,1003.5,2
38_jpeg.rf.b779705fa7b6d53402c35d3674d135af.jpg,450,572.7,1
39_jpg.rf.ab5f598c4397b041d6f1a3400e4db631.jpg,745,648.2,1
41_jpg.rf.3202306dfc02156a529cb2bb0e675d3f.jpg,350,587.6,1
42_jpeg.rf.eb4e55aa2e27f60ea593f7c89d9f6e84.jpg,522,536.2,1
43_jpg.rf.25ab37a97381949ba9220dcffce18f22.jpg,1180,740.5,5
44_jpg.rf.a42b2dec44efd885d2f35772badead6d.jpg,522,493.0,1
44_jpg.rf.f0b7fe9740b4d3dd2e8a6400aeb3b336.jpg,450,458.9,1
45_jpg.rf.2d78fa1c430631901da032ed241abdcf.jpg,576,514.8,1
45_jpg.rf.e68c1287aa92b9d023aa7c11d9d18265.jpg,450,474.4,1
4_jpg.rf.3cdac5af335499e15d084d5d0b718380.jpg,650,621.7,5
50_jpg.rf.fffac78dfef3c29668ef5079d6c7b409.jpg,300,300.0,1
51_jpg.rf.4797976df89732863de77689f7451942.jpg,571,734.8,2
52_jpg.rf.4772d2f3034273abc0632b1b2bf7726e.jpg,745,656.3,1
55_jpg.rf.add3e874d57d4d10cefb125215c595c2.jpg,260,130.0,2
